Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pakistan,PAK,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230000,980000,900000,758000,747000,1900000,1459000,464000,249000,119000,106000,104000,104000
Pakistan,PAK,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,16.38225256,21.30131681,24.544,20.34512143,26.25628141,22.25829726,26.3292903,28.65227584,24.47076723,23.89190438,25.12512111,21.59412689,20.61032852,17.3402112,12.03306961,12.48366991,8.640312612,7.813416677,8.592013093,7.657808425,6.815328324,7.149236413,6.915739269,6.060606061,6.511254019,6.978588422,6.680440771,8.431237042,10.43117464,8.969935929,11.51761518,12.63157895,12.55462853,10.7850912,10.40600478,10.78970205,10.57722309,8.703535811,7.939189189,9.16449841,8.73525688,7.823195775,8.306903889,10.60962383,9.943217208,10.22521072
Pakistan,PAK,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,237887934.7,262042085.1,317150083.6,476384797.6,565491285.1,562649620.4,700186523,671373123.9,706130212.6,743385297.3,708262640,827783124.9,718745992.4,979326945.9,1218280519,1265567422,1293509592,1329873555,1443597312,1431729639,1546394808,1446352642,1258000000,1221000000,1244000000,1261000000,1452000000,1447000000,1716010000,2029000000,2214000000,2185000000,2517000000,2522000000,2931000000,3457000000,3205000000,3309000000,3552000000,3459000000,3686211000,4499440000,4694890000,4656150000,4415070000,5466880000
Pakistan,PAK,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,391800000,393900000,418500000,459500000,488900000,523700000,596000000,597100000,733200000,673340000,723720000,665060000,679170000,951700000,1115590000,1051130000,1160560000,1173550000,1490280000,2055780000,2619420000,2882590000,2401630000,3074840000,2558730000,2738420000,3383040000,4168540000,4509330000,4660135038,5587261690,6494452139,7268510493,6700417859,7331635386,7991167856,9300061199,8639698716,8439311286,8443742892,8876487919,9211428517,9886047303,11929021103,13287479168,16049325208,16895105425,17782027030,20207503826,17522085355,21485235741,25433187367,24784053112,25162798954,24731259190,22139537353,20547137384,21503678697,23163375564,23337825690,22235464382,
Pakistan,PAK,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,3.241449719,4.417364813,3.966547192,2.720348205,2.863571282,2.253198396,2.030201342,2.110199297,1.841243863,4.244512431,3.562151108,3.765073828,2.779863657,3.949774088,9.851289452,7.317838897,10.30106156,13.81023391,5.810988539,7.344171069,9.862870406,9.764135725,6.880743495,16.57939925,11.89613597,2.830464282,2.32010263,1.984867604,1.262493541,3.379831367,1.725314315,3.880940298,2.668428045,1.511071737,1.73404192,3.192445985,1.990331947,1.445459094,1.619245229,1.318864671,1.647986324,2.231940058,2.45923268,2.343553302,2.370416902,2.522592643,2.570688226,2.808962106,4.779911578,4.312740925,3.224418263,3.006432666,2.861330468,2.514726141,2.501451484,2.102909711,2.015182812,1.680215697,1.604904488,1.752165349,1.486734778,
Pakistan,PAK,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,19.16794283,19.01497842,15.48387097,16.45266594,25.24033545,26.31277449,23.80872483,19.74543628,12.46590289,17.08497936,19.14828939,15.17005984,12.13392818,17.56961227,24.04646868,17.77801033,18.06197008,24.62954284,20.42971791,20.11937075,26.83189408,29.77357168,19.60418549,28.20114217,20.99400875,14.7694656,10.9750402,10.24987166,9.574149597,13.49151922,10.137042,12.05876011,11.61799706,10.28356925,8.494246192,14.06446106,12.33971703,12.74225058,12.44769659,11.08573047,13.17161472,13.66058765,13.90368381,13.51998839,15.38741263,15.85778768,16.29332487,17.6036294,20.77730629,22.93603488,23.86992415,24.20046675,27.19129791,27.52160769,25.89955289,24.67162728,22.95987278,23.07045325,24.14399298,23.92199515,23.28585292,
Pakistan,PAK,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.344802426,0.414723741,0.858020531,0.8366178,0.960315109,0.645672769,0.492955477,0.657793495,0.685489381,0.858087496,0.611599091,0.559140832,0.685133469,0.446121802,0.518924465,0.683097047,0.566039569,0.571599465,0.375802884,0.539325936,0.514632459,0.4757385,0.598206919,0.452799224,0.408103438,0.276679129,,,0.302621706,0.238508161,0.216255325,0.210025151,,0.162229989,0.221243941,0.181634423,0.186672213,0.264177326,0.216655999,0.184047332,0.202718457,0.205644529,0.268714072,0.410622607,0.573393502,1.116100393,1.288844443,1.053188754,1.570266759,1.490420006,2.022153075,2.091886146,1.803361168,1.566891914,1.490093812,1.966381392,2.119698413,2.750775308,3.32696265,4.618961709
Pakistan,PAK,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,5.86E-05,0.022368691,0.811845164,0.937735203,0.560288346,0.596638872,1.228918926,1.247790509,1.207591961,1.15872385,1.596760765,0.763870831,2.286946209,1.071986154,2.117504572,4.286366505,3.139977548,6.778141792,7.127245063,6.55432412,5.949368751,1.862042689,0.987867474,1.426796379,0.719297732,0.677906073,,,1.28365397,1.480489582,1.224872128,0.987440582,,0.981747319,0.760898572,0.868591964,0.317589557,0.923317839,1.439963138,2.144154683,1.935537184,2.307243451,2.414001031,4.232920587,5.002867987,5.773652062,6.181635146,4.116029583,5.711194515,5.215871148,1.350534874,2.104634411,2.641946441,1.210655792,0.761514397,1.203244371,2.134266061,1.599220465,0.873349138,0.708780532
Pakistan,PAK,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,28.71617563,30.40941854,27.65311203,36.64227156,29.21268424,35.70279256,37.85718009,44.43223792,49.10773208,53.77536041,61.9042028,76.11464109,88.09254886,82.31265416,84.10678262,75.01655344,90.56540496,83.96034592,80.41157591,85.60007,100,112.8178132,126.4946411,142.1094585,148.9382168,177.8859017,183.1084529,186.714537,188.7786016,173.838936,187.048935,187.4931144,180.667559,189.1226912,180.5356992,169.5166209,166.7670774,175.8409278,203.743999,231.5577576,223.7547259,
Pakistan,PAK,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,67.29405346,71.61176766,75.25871982,72.76510481,77.11559735,76.10054868,70.45191055,68.21364915,67.42491029,67.44631413,66.58098128,65.00378333,61.19837282,66.31292647,66.97408998,62.06584422,61.16462465,61.28257179,68.22916241,66.99214152,60.11146634,71.58823586,71.67095116,78.97378695,76.34625063,74.05817835,69.67871486,52.30263158,40.68589244,36.00823045,37.21413721,38.40224247,45.08861841,54.13622552,57.16684476,54.17116631,43.48970396,48.52920867,51.11528822,45.17346318,36.79014749,35.79784197,33.71894406,37.41308945,36.03356255,50.18806362
